state,session,bill,legiscan_link,legiscan_title,summary
Nebraska,2017-2018,LB1105,https://legiscan.com/NE/bill/LB1105/2018,NE LB1105 | 2017-2018 | 105th Legislature | LegiScan,Change the transaction loan period under the Delayed Deposit Services Licensing Act
Nebraska,2017-2018,LB1106,https://legiscan.com/NE/bill/LB1106/2018,NE LB1106 | 2017-2018 | 105th Legislature | LegiScan,Change requirements for overriding property tax limits
Nebraska,2017-2018,LB1108,https://legiscan.com/NE/bill/LB1108/2018,NE LB1108 | 2017-2018 | 105th Legislature | LegiScan,"Authorize certain tax credits, change the sales tax rate, and provide for school foundation aid and certain grant programs"
Nebraska,2017-2018,LB1109,https://legiscan.com/NE/bill/LB1109/2018,NE LB1109 | 2017-2018 | 105th Legislature | LegiScan,Create the Grow Nebraska Through Quality Employment Strategic Partnership
Nebraska,2017-2018,LB111,https://legiscan.com/NE/bill/LB111/2017,NE LB111 | 2017-2018 | 105th Legislature | LegiScan,Provide for nonpartisan election of county officers
Nebraska,2017-2018,LB1110,https://legiscan.com/NE/bill/LB1110/2018,NE LB1110 | 2017-2018 | 105th Legislature | LegiScan,Require annual reporting of school performance scores and classifications
Nebraska,2017-2018,LB1111,https://legiscan.com/NE/bill/LB1111/2018,NE LB1111 | 2017-2018 | 105th Legislature | LegiScan,Adopt the Fiscal Stress Management Act
Nebraska,2017-2018,LB1112,https://legiscan.com/NE/bill/LB1112/2018,NE LB1112 | 2017-2018 | 105th Legislature | LegiScan,Change provisions relating to placement and detention of juveniles and permit an additional use of funds under the Community-based Juvenile Services Aid Program
Nebraska,2017-2018,LB1113,https://legiscan.com/NE/bill/LB1113/2018,NE LB1113 | 2017-2018 | 105th Legislature | LegiScan,"Provide an exception for leasing dark fiber or providing broadband, Internet, telecommunications, or video services by an agency or political subdivision of the state"
Nebraska,2017-2018,LB1114,https://legiscan.com/NE/bill/LB1114/2018,NE LB1114 | 2017-2018 | 105th Legislature | LegiScan,Provide for creation and maintenance of a statewide geographic information system map under the Nebraska Telecommunications Regulation Act
Nebraska,2017-2018,LB1115,https://legiscan.com/NE/bill/LB1115/2018,NE LB1115 | 2017-2018 | 105th Legislature | LegiScan,"Provide population requirements for establishing district boundary lines for legislative districts, Supreme Court districts, and certain political subdivisions"
Nebraska,2017-2018,LB1116,https://legiscan.com/NE/bill/LB1116/2018,NE LB1116 | 2017-2018 | 105th Legislature | LegiScan,Create the Quality Education Accountability Commission and the Quality Education Accountability Office
Nebraska,2017-2018,LB1117,https://legiscan.com/NE/bill/LB1117/2018,NE LB1117 | 2017-2018 | 105th Legislature | LegiScan,Change certain cigarette and tobacco products tax rates
Nebraska,2017-2018,LB1118,https://legiscan.com/NE/bill/LB1118/2018,NE LB1118 | 2017-2018 | 105th Legislature | LegiScan,Create the Coordinated Reentry Council
Nebraska,2017-2018,LB1119,https://legiscan.com/NE/bill/LB1119/2018,NE LB1119 | 2017-2018 | 105th Legislature | LegiScan,Adopt the Direct Primary Care Pilot Program Act and the Nebraska Right to Shop Act
