Bill,assembly_number,category
HSB 572,88,
SF 2016,88,
SF 537,88,
SF 2085,88,
SF 2104,88,
SF 2020,88,
SF 2077,88,
HF 2155,88,
HSB 584,88,
SF 2053,88,
HSB 530,88,
HF 2144,88,
HSB 573,88,
HSB 516,88,
HF 2121,88,
HF 2080,88,
HF 2118,88,
SF 2063,88,
SF 2037,88,
HF 2158,88,
HSB 579,88,
HSB 542,88,
SSB 3019,88,
HSB 568,88,
HF 2142,88,
HJR 2001,88,
HSB 536,88,
HSB 554,88,
SF 2043,88,
SF 316,88,
SF 501,88,
HF 2060,88,
SF 556,88,
SF 336,88,
HF 2031,88,
HSB 544,88,
HSB 153,88,
SF 198,88,
SF 393,88,
HF 2073,88,
HSB 503,88,
SF 204,88,
SF 2074,88,
HF 779,88,
SF 625,88,
HSB 502,88,
HSB 512,88,
HF 2009,88,
SF 2014,88,
HF 2088,88,
SSB 3072,88,
SSB 3070,88,
SF 630,88,
HSB 514,88,
SSB 3011,88,
SF 601,88,
SSB 3047,88,
HSB 531,88,
HF 2019,88,
SF 2044,88,
SSB 3059,88,
HF 2077,88,
HF 2078,88,
HSB 552,88,
SSB 3040,88,
HF 2014,88,
HSB 524,88,
HF 2076,88,
SF 2075,88,
SSB 3026,88,
SSB 3050,88,
HF 2028,88,
HF 2039,88,
HF 2040,88,
SF 2028,88,
SF 2076,88,
HSB 532,88,
HSB 553,88,
HSB 547,88,
HSB 548,88,
HSB 549,88,
HSB 550,88,
HF 166,88,
HF 286,88,
SCR 101,88,
HF 2099,88,
HF 2105,88,
HF 2045,88,
SF 610,88,
SF 2055,88,
HSB 513,88,
SSB 1184,88,
SSB 1244,88,
SF 414,88,
SSB 3038,88,
HF 2101,88,
HF 2063,88,
SF 2065,88,
HF 109,88,
HF 19,88,
HF 25,88,
HF 64,88,
SF 2082,88,
HF 2056,88,
HF 2069,88,
HF 2070,88,
HF 2032,88,
HSB 501,88,
SF 2078,88,
SF 2083,88,
SSB 3006,88,
SSB 3036,88,
HF 2095,88,
SF 2045,88,
HSB 527,88,
SF 2030,88,
SF 2069,88,
HF 2059,88,
SF 2011,88,
SF 420,88,
SF 2024,88,
HF 530,88,
SF 626,88,
HSB 58,88,
SF 122,88,
HF 2057,88,
HF 2058,88,
SF 389,88,
HSB 505,88,
SF 19,88,
SSB 3004,88,
SSB 3048,88,
SSB 3014,88,
HF 2053,88,
HF 155,88,
SF 2031,88,
SF 470,88,
SSB 3063,88,
SF 2013,88,
SF 2051,88,
SSB 3002,88,
SSB 3022,88,
HSB 528,88,
HF 2029,88,
HF 2043,88,
HSB 523,88,
HSB 511,88,
SF 2050,88,
SF 2004,88,
HF 225,88,
HF 2074,88,
HF 2075,88,
SF 490,88,
SF 574,88,
HF 2064,88,
HSB 534,88,
SSB 3058,88,
HF 2062,88,
SSB 3020,88,
HF 424,88,
HF 706,88,
SF 16,88,
SF 2006,88,
SF 430,88,
HF 2042,88,
SF 576,88,
SF 195,88,
SF 345,88,
SF 573,88,
SF 575,88,
SF 2002,88,
SF 2005,88,
SSB 3053,88,
SSB 3018,88,
HF 2007,88,
SF 2039,88,
SF 305,88,
SSB 3024,88,
SF 244,88,
SSB 3003,88,
HJR 5,88,
SJR 21,88,
HF 705,88,
HF 2044,88,
SSB 3027,88,
SSB 3001,88,
SF 2009,88,
SF 2012,88,
HF 2006,88,
HF 2010,88,
SSB 3030,88,
SSB 3021,88,
SSB 3031,88,
SSB 3035,88,
SSB 3039,88,
HF 2012,88,
HF 2015,88,
HF 2016,88,
SSB 3005,88,
SSB 3042,88,
SSB 3043,88,
SF 2023,88,
HF 2025,88,
HSB 504,88,
HSB 506,88,
SF 535,88,
SF 376,88,
HF 742,88,
HF 2022,88,
SSB 3044,88,
HF 2034,88,
SF 2022,88,
SF 2025,88,
SSB 3017,88,
SF 2026,88,
HSB 510,88,
HF 2002,88,
HF 204,88,
SF 92,88,
SSB 3028,88,
SSB 3010,88,
HF 2017,88,
SSB 1252,88,
SF 504,88,
SF 591,88,
SF 638,88,
HF 696,88,
HF 489,88,
HF 700,88,
SF 634,88,
HF 767,88,
SSB 1261,88,
HF 339,88,
HF 759,88,
HF 785,88,
SF 640,88,
SF 633,88,
HF 786,88,
HF 771,88,
SF 619,88,
SF 637,88,
HSB 257,88,
SF 631,88,
SF 615,88,
HSB 259,88,
SSB 1236,88,
SF 627,88,
SF 624,88,
HF 768,88,
SF 629,88,
HF 777,88,
HF 784,88,
SF 609,88,
HF 783,88,
SF 302,88,
HF 764,88,
HF 758,88,
SF 599,88,
HF 782,88,
SSB 1262,88,
HF 772,88,
SF 593,88,
SF 447,88,
HF 531,88,
SSB 1260,88,
HF 546,88,
